,State,Year,Quater,Transaction_type,Transaction_count,Transaction_amount
90,Kerala,2019,3,Peer-to-peer payments,4181954,14433990011.32079
91,Kerala,2019,3,Recharge & bill payments,3431236,1051007778.3129579
92,Kerala,2019,3,Merchant payments,1497029,879510566.1106174
93,Kerala,2019,3,Financial Services,96130,8910528.723410578
94,Kerala,2019,3,Others,79747,56390837.59670959
95,Kerala,2019,1,Peer-to-peer payments,3601116,9314451112.085835
96,Kerala,2019,1,Recharge & bill payments,2180915,498453895.947243
97,Kerala,2019,1,Merchant payments,550707,371997848.20066386
98,Kerala,2019,1,Financial Services,77652,7808573.898364296
99,Kerala,2019,1,Others,58649,42319704.717572376
100,Kerala,2018,2,Recharge & bill payments,1230869,248080143.25702396
101,Kerala,2018,2,Peer-to-peer payments,848291,3436199589.077317
102,Kerala,2018,2,Merchant payments,131217,144501582.04666698
103,Kerala,2018,2,Financial Services,41100,12355589.34361695
104,Kerala,2018,2,Others,56688,45786439.71799916
105,Kerala,2018,4,Peer-to-peer payments,2073960,6959805154.570259
106,Kerala,2018,4,Recharge & bill payments,1679897,351296525.29857576
107,Kerala,2018,4,Merchant payments,417114,378857199.6490426
108,Kerala,2018,4,Financial Services,75084,10063656.726067666
109,Kerala,2018,4,Others,64599,47338700.56846385
110,Kerala,2018,3,Peer-to-peer payments,1425259,4823239268.279744
111,Kerala,2018,3,Recharge & bill payments,1407588,296352497.34099543
112,Kerala,2018,3,Merchant payments,210974,160705488.6023575
113,Kerala,2018,3,Financial Services,37286,6170643.387882499
114,Kerala,2018,3,Others,53241,36557326.26447625
115,Kerala,2018,1,Recharge & bill payments,988774,157311821.37585658
116,Kerala,2018,1,Peer-to-peer payments,600205,2107288314.3025222
117,Kerala,2018,1,Merchant payments,72164,82919383.04571173
118,Kerala,2018,1,Financial Services,40170,7957491.901965583
119,Kerala,2018,1,Others,70067,47197742.47444939
120,Meghalaya,2023,2,Peer-to-peer payments,2509275,8997569260.0
121,Meghalaya,2023,2,Merchant payments,1701913,1698962028.0
122,Meghalaya,2023,2,Recharge & bill payments,855108,378639410.0
123,Meghalaya,2023,2,Financial Services,4075,4633858.0
124,Meghalaya,2023,2,Others,6841,4701930.0
125,Meghalaya,2023,4,Peer-to-peer payments,3588204,11051189244.0
126,Meghalaya,2023,4,Merchant payments,2747430,2399606416.0
127,Meghalaya,2023,4,Recharge & bill payments,919773,412031812.0
128,Meghalaya,2023,4,Financial Services,6221,6157396.0
129,Meghalaya,2023,4,Others,6756,4073824.0
130,Meghalaya,2023,3,Peer-to-peer payments,2926582,9081363888.0
131,Meghalaya,2023,3,Merchant payments,2199365,1940467487.0
132,Meghalaya,2023,3,Recharge & bill payments,893594,376288929.0
133,Meghalaya,2023,3,Financial Services,4709,4394372.0
134,Meghalaya,2023,3,Others,5592,4118404.0
135,Meghalaya,2023,1,Peer-to-peer payments,2111009,8309060918.0
136,Meghalaya,2023,1,Merchant payments,1232691,1407372935.0
137,Meghalaya,2023,1,Recharge & bill payments,810151,358800191.0
138,Meghalaya,2023,1,Financial Services,3991,4692287.0
139,Meghalaya,2023,1,Others,6863,4914284.0
140,Meghalaya,2021,2,Recharge & bill payments,389959,129031455.7077258
141,Meghalaya,2021,2,Peer-to-peer payments,366411,1885041503.7970467
142,Meghalaya,2021,2,Merchant payments,147406,173894963.00439677
143,Meghalaya,2021,2,Financial Services,1766,2306496.854595862
144,Meghalaya,2021,2,Others,4052,3342835.5268340455
145,Meghalaya,2021,4,Peer-to-peer payments,669693,3233210261.728197
146,Meghalaya,2021,4,Recharge & bill payments,447310,165277548.45940137
147,Meghalaya,2021,4,Merchant payments,314445,442464385.0377933
148,Meghalaya,2021,4,Financial Services,1989,2464327.9242311358
149,Meghalaya,2021,4,Others,6756,5348877.036531466
150,Meghalaya,2021,3,Peer-to-peer payments,473274,2348008593.21644
151,Meghalaya,2021,3,Recharge & bill payments,418429,144363692.75220004
152,Meghalaya,2021,3,Merchant payments,199427,270311210.8907223
